pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
88.45,-82.834,90.0,top,12V,,,SOLDERJUMPER_ARROW_NOPASTE,,tht
86.225,-82.841,90.0,top,15V,,,SOLDERJUMPER_ARROW_NOPASTE,,tht
84.0,-82.841,90.0,top,18V,,,SOLDERJUMPER_ARROW_NOPASTE,,tht
88.52,-100.65,90.0,top,1A,,,SOLDERJUMPER_CLOSEDWIRE,,tht
84.0,-100.676,-90.0,top,2A,,,SOLDERJUMPER_ARROW_NOPASTE,,tht
92.9,-82.818,90.0,top,5V,,,SOLDERJUMPER_CLOSEDWIRE,,tht
90.675,-82.809,90.0,top,9V,,,SOLDERJUMPER_ARROW_NOPASTE,,tht
93.85,-95.6,90.0,top,Burn1,,,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,Tactile_Button,smt
99.85,-95.59,90.0,top,Burn2,,,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,Tactile_Button,smt
86.75,-90.075,90.0,top,C1,,,0805-NO,1uF/50V,tht
96.25,-86.157,0.0,top,C2,,,0805-NO,4.7uF,tht
96.25,-84.157,0.0,top,C3,,,0805-NO,4.7uF,tht
96.25,-82.125,0.0,top,C4,,,0805-NO,4.7uF,tht
105.52,-91.1725,90.0,top,D1,,,LED_0805_2012Metric,LED_RED_IN1,smt
107.72,-91.17,90.0,top,D2,,,LED_0805_2012Metric,LED_RED_IN2,smt
120.312499,-82.4,180.0,top,D6,,,LED_0805_2012Metric,LED_RED_IN1,smt
105.635,-82.805,180.0,top,J1,,,Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal,Conn_01x06_MountingPin,smt
99.5414,-96.2225,90.0,top,PLABEL0,,,PLABEL0,,tht
87.2638,-94.351429,90.0,top,PLABEL10,,,PLABEL10,,tht
87.2638,-91.049429,90.0,top,PLABEL11,,,PLABEL11,,tht
83.0865,-97.421,180.0,top,PLABEL14,,,PLABEL14,,tht
99.5414,-93.8095,90.0,top,PLABEL16,,,PLABEL16,,tht
101.5538,-89.039429,90.0,top,PLABEL17,,,PLABEL17,,tht
81.0094,-91.503,-90.0,bottom,PLABEL18,,,PLABEL18,,tht
99.5414,-98.7715,90.0,top,PLABEL3,,,PLABEL3,,tht
84.578,-90.984,180.0,top,PLABEL4,,,PLABEL4,,tht
84.07,-85.015,90.0,top,PLABEL5,,,PLABEL5,,tht
86.4638,-85.0785,90.0,top,PLABEL6,,,PLABEL6,,tht
88.8325,-85.523,90.0,top,PLABEL7,,,PLABEL7,,tht
93.4685,-90.066,90.0,top,PLABEL8,,,PLABEL8,,tht
85.7398,-94.351429,90.0,top,PLABEL9,,,PLABEL9,,tht
94.1835,-89.464161,0.0,top,Q1,,,POWERDI3333,AONR21307,tht
114.98,-91.45,-90.0,top,R1,,,AxialBurnResistor,4.7,tht
85.84,-86.09,-90.0,top,R10,,,0603-NO,18K,tht
116.7875,-82.33,0.0,top,R15,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,750,smt
103.64,-91.33,90.0,top,R16,,,0603-NO,510,tht
109.62,-91.33,-90.0,top,R17,,,0603-NO,510,tht
122.03959,-91.425357,-90.0,top,R2,,,AxialBurnResistor_No_Cutout,4.7,tht
81.0125,-85.9,0.0,top,R3,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0,smt
88.357,-90.4995,90.0,top,R3,,,0603-NO,10 ohm,tht
89.95,-93.675,90.0,top,R4,,,0603-NO,5.1K,tht
125.6875,-86.1,0.0,top,R4,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0,smt
80.9875,-97.1,0.0,top,R5,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0,smt
89.9,-90.5,-90.0,top,R5,,,0603-NO,49.9K,tht
125.6875,-96.9,0.0,top,R6,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0,smt
91.54,-86.04,-90.0,top,R7,,,0603-NO,6K,tht
86.25,-100.74,90.0,top,R8,,,0603-NO,14K,tht
89.76,-86.04,-90.0,top,R8,,,0603-NO,10K,tht
87.935,-86.04,-90.0,top,R9,,,0603-NO,14K,tht
106.9051,-96.59,0.0,top,U1,,,SOIC8_ONS,NCV8402ADDR2G,smt
81.3904,-91.503,-90.0,top,X1,,,USB_C_CUSB31-CFM2AX-01-X,USB Type C,tht
87.595,-95.0715,180.0,top,X3,,,DFN10_3X3MM,HUSB238,tht
105.63,-84.095,180.0,top,p,,,Molex_Pico-Lock_504050-0691_1x06-1MP_P1.50mm_Horizontal,Molex_Pico-Lock_504050-0691_1x06-1MP_P1.50mm_Horizontal,smt
